No;Jenis Rambu;N;E;Kelurahan;Kecamatan;Kabupaten ;Tahun;Foto
324;Peringatan Longsor;-7.93647;112.63096;Mojolangu;Lowokwaru;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0324.png
325;Peringatan Longsor;-7.93678;112.63153;Mojolangu;Lowokwaru;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0325.png
326;Peringatan Longsor;-7.95656;112.62484;Samaan;Klojen;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0326.png
327;Peringatan Longsor;-7.95828;112.62516;Samaan;Klojen;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0327.png
328;Peringatan Longsor;-7.95844;112.61715;Samaan;Klojen;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0328.png
329;Peringatan Longsor;-7.9592;112.62594;Samaan;Klojen;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0329.png
330;Peringatan Longsor;-7.95993;112.62672;Samaan;Klojen;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0330.png
331;Peringatan Longsor;-7.96208;112.62779;Samaan;Klojen;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0331.png
332;Peringatan Longsor;-7.96245;112.62814;Samaan;Klojen;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0332.png
333;Peringatan Longsor;-7.96418;112.62838;Samaan;Klojen;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0333.png
334;Peringatan Longsor;-7.96559;112.63002;Samaan;Klojen;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0334.png
335;Peringatan Longsor;-7.9685;112.6311;Samaan;Klojen;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0335.png
336;Peringatan Longsor;-7.96984;112.63068;Samaan;Klojen;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0336.png
337;Peringatan Longsor;-7.97206;112.63025;Samaan;Klojen;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0337.png
338;Peringatan Longsor;-7.96657;112.63029;Samaan;Klojen;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0338.png
339;Peringatan Longsor;-8.00669;112.6254;Bandungrejosari;Sukun;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0339.png
340;Peringatan Longsor;-8.00456;112.624;Bandungrejosari;Sukun;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0340.png
341;Peringatan Longsor;-8.00459;112.62395;Bandungrejosari;Sukun;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0341.png
342;Peringatan Longsor;-8.00287;112.62547;Bandungrejosari;Sukun;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0342.png
343;Peringatan Longsor;-8.00328;112.62383;Bandungrejosari;Sukun;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0343.png
344;Peringatan Longsor;-8.00204;112.62344;Bandungrejosari;Sukun;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0344.png
345;Peringatan Longsor;-8.00273;112.62549;Bandungrejosari;Sukun;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0345.png
346;Peringatan Longsor;-8.00246;112.62413;Bandungrejosari;Sukun;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0346.png
347;Peringatan Longsor;-8.00171;112.62466;Bandungrejosari;Sukun;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0347.png
348;Peringatan Longsor;-7.99908;112.61706;Bandungrejosari;Sukun;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0348.png
349;Peringatan Longsor;-7.9934;112.61734;Bandungrejosari;Sukun;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0349.png
350;Peringatan Longsor;-7.9987;112.61761;Bandungrejosari;Sukun;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0350.png
351;Peringatan Longsor;-7.99798;112.61699;Bandungrejosari;Sukun;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0351.png
352;Peringatan Longsor;-7.9976;112.61633;Bandungrejosari;Sukun;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0352.png
353;Peringatan Longsor;-7.99999;112.61645;Bandungrejosari;Sukun;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0353.png
354;Peringatan Longsor;-8.00074;112.61608;Bandungrejosari;Sukun;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0354.png
355;Peringatan Longsor;-8.00137;112.61584;Bandungrejosari;Sukun;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0355.png
356;Peringatan Longsor;-8.00214;112.61743;Bandungrejosari;Sukun;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0356.png
357;Peringatan Longsor;-8.00201;112.617;Bandungrejosari;Sukun;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0357.png
358;Peringatan Longsor;-8.00597;112.61757;Bandungrejosari;Sukun;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0358.png
359;Peringatan Longsor;-8.00581;112.61727;Bandungrejosari;Sukun;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0359.png
360;Peringatan Longsor;-7.99716;112.61367;Bandungrejosari;Sukun;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0360.png
361;Peringatan Longsor;-7.9965;112.61348;Bandungrejosari;Sukun;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0361.png
362;Peringatan Longsor;-7.99651;112.61449;Bandungrejosari;Sukun;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0362.png
363;Peringatan Longsor;-7.99627;112.61519;Bandungrejosari;Sukun;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0363.png
364;Peringatan Longsor;-8.00593;112.61249;Bandungrejosari;Sukun;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0364.png
365;Peringatan Longsor;-7.99988;112.62402;Bandungrejosari;Sukun;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0365.png
366;Peringatan Longsor;-8.01159;112.62262;Bandungrejosari;Sukun;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0366.png
367;Peringatan Longsor;-8.00677;112.62525;Bandungrejosari;Sukun;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0367.png
368;Peringatan Longsor;-7.98617;112.60111;Mulyorejo;Sukun;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0368.png
369;Peringatan Longsor;-7.98577;112.60124;Mulyorejo;Sukun;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0369.png
370;Peringatan Longsor;-8.00714;112.61312;Bakalankrajan;Sukun;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0370.png
371;Peringatan Longsor;-8.00606;112.61218;Bakalankrajan;Sukun;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0371.png
372;Peringatan Longsor;-8.00443;112.60763;Bakalankrajan;Sukun;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0372.png
373;Peringatan Longsor;-8.00687;112.6126;Bakalankrajan;Sukun;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0373.png
374;Peringatan Longsor;-7.98957;112.6082;Bandulan;Sukun;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0374.png
375;Peringatan Longsor;-7.97826;112.60828;Bandulan;Sukun;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0375.png
376;Peringatan Longsor;-7.98706;112.60699;Bandulan;Sukun;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0376.png
377;Peringatan Longsor;-7.98192;112.61084;Bandulan;Sukun;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0377.png
378;Peringatan Longsor;-8.00687;112.6126;Bakalankrajan;Sukun;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0378.png
379;Peringatan Longsor;-7.98957;112.6082;Bandulan;Sukun;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0379.png
380;Peringatan Longsor;-7.97826;112.60828;Bandulan;Sukun;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0380.png
381;Peringatan Longsor;-8.00677;112.62525;Bandungrejosari;Sukun;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0381.png
382;Peringatan Longsor;-7.98706;112.60699;Bandulan;Sukun;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0382.png
383;Peringatan Longsor;-7.9425;112.59691;Merjosari;Lowokwaru;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0383.png
384;Peringatan Longsor;-7.94253;112.59666;Merjosari;Lowokwaru;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0384.png
385;Peringatan Longsor;-7.94605;112.5954;Merjosari;Lowokwaru;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0385.png
386;Peringatan Longsor;-7.94525;112.59393;Merjosari;Lowokwaru;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0386.png
387;Peringatan Longsor;-7.94565;112.59474;Merjosari;Lowokwaru;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0387.png
388;Peringatan Longsor;-7.94604;112.59539;Merjosari;Lowokwaru;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0388.png
389;Peringatan Longsor;-7.94458;112.59279;Merjosari;Lowokwaru;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0389.png
390;Peringatan Longsor;-7.94436;112.59211;Merjosari;Lowokwaru;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0390.png
391;Peringatan Longsor;-7.94154;112.59911;Merjosari;Lowokwaru;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0391.png
392;Peringatan Longsor;-7.98243;112.63698;Kiduldalem;Klojen;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0392.png
393;Peringatan Longsor;-7.98001;112.6347;Kiduldalem;Klojen;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0393.png
394;Peringatan Longsor;-7.98224;112.63609;Kiduldalem;Klojen;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0394.png
395;Peringatan Longsor;-7.98121;112.63518;Kiduldalem;Klojen;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0395.png
396;Peringatan Longsor;-7.98085;112.63447;Kiduldalem;Klojen;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0396.png
397;Peringatan Longsor;-7.97988;112.6322;Kiduldalem;Klojen;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0397.png
398;Peringatan Longsor;-7.97935;112.63171;Kiduldalem;Klojen;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0398.png
399;Peringatan Longsor;-7.97926;112.63446;Kiduldalem;Klojen;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0399.png
400;Peringatan Longsor;-7.98211;112.63722;Kiduldalem;Klojen;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0400.png
401;Peringatan Longsor;-7.98185;112.63683;Kiduldalem;Klojen;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0401.png
402;Peringatan Longsor;-7.98131;112.63674;Kiduldalem;Klojen;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0402.png
403;Peringatan Longsor;-7.98124;112.63561;Kiduldalem;Klojen;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0403.png
404;Peringatan Longsor;-7.98025;112.63493;Kiduldalem;Klojen;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0404.png
405;Peringatan Longsor;-7.95849;112.625;Penanggungan;Klojen;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0405.png
406;Jalur Evakuasi;-7.07883;112.19063;Tegalsari;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0406.png
407;Jalur Evakuasi;-7.07886;112.18793;Tegalsari;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0407.png
408;Jalur Evakuasi;-7.07773;112.19532;Tegalsari;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0408.png
409;Jalur Evakuasi;-7.07777;112.19616;Tegalsari;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0409.png
410;Jalur Evakuasi;-7.08073;112.18794;Tegalsari;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0410.png
411;Jalur Evakuasi;-7.07854;112.19476;Tegalsari;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0411.png
412;Jalur Evakuasi;-7.07555;112.19848;Tegalsari;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0412.png
413;Jalur Evakuasi;-7.0753;112.1989;Tegalsari;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0413.png
414;Jalur Evakuasi;-7.07867;112.18895;Tegalsari;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0414.png
415;Titik Kumpul;-7.07874;112.19178;Tegalsari;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0415.png
416;Jalur Evakuasi;-7.07857;112.1906;Tegalsari;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0416.png
417;Jalur Evakuasi;-7.07894;112.19063;Tegalsari;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0417.png
418;Jalur Evakuasi;-7.08123;112.18798;Tegalsari;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0418.png
419;Jalur Evakuasi;-7.05863;112.21455;Tegalsari;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0419.png
420;Jalur Evakuasi;-7.08103;112.18913;Tegalsari;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0420.png
421;Jalur Evakuasi;-7.08123;112.18796;Tegalsari;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0421.png
422;Jalur Evakuasi;-7.07092;112.17376;Tegalsari;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0422.png
423;Jalur Evakuasi;-7.07673;112.19691;Tegalsari;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0423.png
424;Peringatan Banjir;-7.07539;112.19879;Tegalsari;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0424.png
425;Jalur Evakuasi;-7.07828;112.19391;Tegalsari;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0425.png
426;Jalur Evakuasi;-7.07876;112.19206;Tegalsari;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0426.png
427;Jalur Evakuasi;-7.05855;112.21399;Tegalsari;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0427.png
428;Jalur Evakuasi;-7.07885;112.19089;Tegalsari;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0428.png
429;Jalur Evakuasi;-7.06069;112.15811;Tegalsari;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0429.png
430;Jalur Evakuasi;-7.07098;112.21658;Tegalsari;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0430.png
431;Peringatan Banjir;-7.07718;112.19653;Tegalsari;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0431.png
432;Jalur Evakuasi;-7.06075;112.21368;Tegalsari;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0432.png
433;Jalur Evakuasi;-7.06171;112.21507;Tegalsari;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0433.png
434;Peringatan Banjir;-7.007847;112.19497;Tegalsari;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0434.png
435;Jalur Evakuasi;-7.06502;112.21557;Tegalsari;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0435.png
436;Jalur Evakuasi;-7.06611;112.21719;Tegalsari;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0436.png
437;Titik Kumpul;-7.0696;112.21742;Tegalrejo;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0437.png
438;Jalur Evakuasi;-7.07893;112.19387;Tegalrejo;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0438.png
439;Jalur Evakuasi;-7.06229;112.21552;Tegalrejo;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0439.png
440;Jalur Evakuasi;-7.07071;112.21563;Tegalrejo;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0440.png
441;Jalur Evakuasi;-7.06949;112.21566;Tegalrejo;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0441.png
442;Peringatan Banjir;-7.07014;112.21561;Tegalrejo;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0442.png
443;Jalur Evakuasi;-7.06548;112.21702;Tegalrejo;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0443.png
444;Jalur Evakuasi;-7.06348;112.21609;Tegalrejo;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0444.png
445;Jalur Evakuasi;-7.06445;112.21277;Tegalrejo;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0445.png
446;Jalur Evakuasi;-7.06946;112.21586;Tegalrejo;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0446.png
447;Jalur Evakuasi;-7.06823;112.21588;Tegalrejo;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0447.png
448;Jalur Evakuasi;-7.06077;112.21363;Tegalrejo;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0448.png
449;Jalur Evakuasi;-7.06814;112.21758;Tegalrejo;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0449.png
450;Jalur Evakuasi;-7.06718;112.21575;Tegalrejo;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0450.png
451;Jalur Evakuasi;-7.07172;112.21617;Tegalrejo;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0451.png
452;Peringatan Banjir;-7.06944;112.21517;Tegalrejo;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0452.png
453;Jalur Evakuasi;-7.07049;112.20625;Tegalrejo;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0453.png
454;Jalur Evakuasi;-7.0627;112.21568;Tegalrejo;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0454.png
455;Jalur Evakuasi;-7.06277;112.21313;Tegalrejo;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0455.png
456;Titik Kumpul;-7.06039;112.21489;Tegalrejo;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0456.png
457;Peringatan Banjir;-7.06079;112.21312;Tegalrejo;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0457.png
458;Jalur Evakuasi;-7.07092;112.20738;Tegalrejo;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0458.png
459;Jalur Evakuasi;-7.06578;112.21563;Tegalrejo;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0459.png
460;Jalur Evakuasi;-7.05796;112.21398;Tegalrejo;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0460.png
461;Jalur Evakuasi;-7.07154;112.20613;Tegalrejo;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0461.png
462;Jalur Evakuasi;-7.0698;112.20439;Tegalrejo;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0462.png
463;Jalur Evakuasi;-7.0617;112.21341;Tegalrejo;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0463.png
464;Titik Kumpul;-7.06719;112.21663;Tegalrejo;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0464.png
465;Peringatan Banjir;-7.06435;112.21256;Tegalrejo;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0465.png
466;Jalur Evakuasi;-7.07304;112.21325;Tegalrejo;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0466.png
467;Peringatan Banjir;-7.06016;112.21371;Tegalrejo;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0467.png
468;Jalur Evakuasi;-7.0663;112.21568;Tegalrejo;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0468.png
469;Titik Kumpul;-6.89542;112.03927;Tegalrejo;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0469.png
470;Titik Kumpul;-7.0642;112.21646;Tegalrejo;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0470.png
471;Jalur Evakuasi;-7.07303;112.213;Tegalrejo;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0471.png
472;Jalur Evakuasi;-7.0725;112.20835;Tegalrejo;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0472.png
473;Titik Kumpul;-7.07037;112.20462;Tegalrejo;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0473.png
474;Peringatan Banjir;-7.05835;112.21398;Tegalrejo;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0474.png
475;Jalur Evakuasi;-7.07187;112.20845;Tegalrejo;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0475.png
476;Jalur Evakuasi;-7.07329;112.2107;Tegalrejo;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0476.png
477;Titik Kumpul;-7.07257;112.20872;Tegalrejo;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0477.png
478;Peringatan Banjir;-7.06916;112.20188;Kedungharjo;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0478.png
479;Jalur Evakuasi;-7.07273;112.2143;Kedungharjo;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0479.png
480;Jalur Evakuasi;-7.07177;112.20715;Kedungharjo;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0480.png
481;Peringatan Banjir;-7.0708;112.20444;Kedungharjo;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0481.png
482;Jalur Evakuasi;-7.07085;112.20622;Kedungharjo;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0482.png
483;Jalur Evakuasi;-7.07058;112.20436;Kedungharjo;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0483.png
484;Peringatan Banjir;-7.07262;112.21469;Kedungharjo;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0484.png
485;Peringatan Banjir;-7.07344;112.21136;Kedungharjo;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0485.png
486;Jalur Evakuasi;-7.07092;112.20738;Kedungharjo;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0486.png
487;Peringatan Banjir;-7.07242;112.20884;Kedungharjo;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0487.png
488;Jalur Evakuasi;-7.07365;112.21204;Kedungharjo;Widang;Tuban;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0488.png
